COMPANY_NAME,STATE,CITY,TRANSACTION_QUARTER,QUARTERLY_CARD_REVENUE,QUARTERLY_CARD_TRANSACTIONS,avg_basket_size,QoQ_revenue_growth_L1,QoQ_revenue_growth_L2,QoQ_revenue_growth_L3,QoQ_revenue_growth_L4,QoQ_revenue_growth_L5,QoQ_revenue_growth_L6,QoQ_revenue_growth_L7,QoQ_revenue_growth_L8,QoQ_transactions_growth_L1,QoQ_transactions_growth_L2,QoQ_transactions_growth_L3,QoQ_transactions_growth_L4,QoQ_transactions_growth_L5,QoQ_transactions_growth_L6,QoQ_transactions_growth_L7,QoQ_transactions_growth_L8,QoQ_basket_size_growth_L1,QoQ_basket_size_growth_L2,QoQ_basket_size_growth_L3,QoQ_basket_size_growth_L4,QoQ_basket_size_growth_L5,QoQ_basket_size_growth_L6,QoQ_basket_size_growth_L7,QoQ_basket_size_growth_L8
ADORAMA INC,NY,NEW YORK,2017-03-31,5637428.4538,16041.74,351.42250490283476,,,,,,,,,,,,,,,,,,,,,,,,
ADORAMA INC,NY,NEW YORK,2017-06-30,5612342.2498,15598.439999999999,359.8015089842318,-0.004449937450308639,,,,,,,,-0.027634159386699997,,,,,,,,0.023843106131503422,,,,,,,
ADORAMA INC,NY,NEW YORK,2017-09-30,5004433.863,15063.619999999999,332.2198689956332,-0.10831634275719082,-0.11228427925738371,,,,,,,-0.03428676200953429,-0.060973435550009,,,,,,,-0.07665793305443691,-0.054642590156572135,,,,,,
ADORAMA INC,NY,NEW YORK,2017-12-31,6716533.5666,18916.04,355.0708058663441,0.3421165611275858,0.19674340367238785,0.19141797038197628,,,,,,0.2557433073856086,0.21268793546021292,0.17917632376537718,,,,,,0.06878257143317112,-0.013148091377501836,0.010381523415861071,,,,,
ADORAMA INC,NY,NEW YORK,2018-03-31,24102518.869000003,90948.0,265.0142814465409,2.588535459549713,3.816232870455262,3.29455614006058,3.275445633860472,,,,,3.807983066223163,5.037592557433074,4.830583058305831,4.6694597967552145,,,,,-0.2536297632244716,-0.20229249909786595,-0.26344310729904397,-0.24588130313448475,,,,
ADORAMA INC,NY,NEW YORK,2018-06-30,40365810.6852,125554.0,321.50159043280183,0.6747548629499216,5.009917211749114,7.0660094208942095,6.192328779777902,6.1603233665858355,,,,0.3805031446540881,5.637435742364681,7.334915511676476,7.04913824715805,6.826707077910501,,,,0.21314816951725546,-0.0945423134736072,-0.032262605470391836,-0.10644735387451765,-0.08514228329886209,,,
ADORAMA INC,NY,NEW YORK,2018-09-30,61163298.4248,171182.44,357.2989053363184,0.5152253203036832,1.537630973643446,8.10637873217117,11.221821708346953,9.897998679068369,9.849503266612968,,,0.36341685649202726,0.8822012578616352,8.049591775022678,10.36396430605658,9.974330766409976,9.671064360848636,,,0.1113441300720368,0.348225097100638,0.00627508494971285,0.07548927286168694,-0.006955511818109383,0.016721753306915943,,
ADORAMA INC,NY,NEW YORK,2018-12-31,51864704.892000005,148948.8,348.20491935483875,-0.15202897443852825,0.2848671688146236,1.1518375392169888,6.7219453126703606,9.363750688256424,8.24118711645717,8.200064411822337,,-0.12988271460554024,0.18633257403189063,0.6377358490566036,6.874206229210764,8.887981773305487,8.54895489548955,8.285077553931181,,-0.025452039862589704,0.08305815497238811,0.3139100181854886,-0.019336668625158038,0.04811587701702358,-0.03223051971663993,-0.009155889287413843,
ADORAMA INC,NY,NEW YORK,2019-03-31,48742321.5136,144332.76,337.7079570403836,-0.06020247073422802,-0.20307892528836613,0.20751499068669088,1.0222916027374644,6.257065125973013,8.739827290749831,7.684844819529131,7.646197803316589,-0.030990783410138056,-0.15684833093861728,0.14956719817767672,0.5869811320754719,6.630178409434533,8.581545471805583,8.253025302530254,7.997325726510965,-0.030145933417322635,-0.05483069778087968,0.05040835594550219,0.2743009742609157,-0.048899680117593824,0.01651944557482965,-0.061404834032579014,-0.03902580987590176
ADORAMA INC,NY,NEW YORK,2019-06-30,71018103.6422,191823.06,370.22714392211236,0.4570111032233999,0.3692954349221478,0.1611228542475751,0.7593627487392087,1.9465013191439309,9.573624465358002,13.191036506100788,11.653915331826168,0.32903340863155384,0.2878456221198158,0.1205767367260333,0.5278132118451024,1.1091509433962266,9.140762019957664,11.734194038352003,11.297579757975798,0.09629381305291562,0.06324501275879979,0.036183258310362953,0.15155618180213892,0.39700827404954464,0.04268539627973089,0.11440397903166577,0.028976073411458136
ADORAMA INC,NY,NEW YORK,2019-09-30,67853683.2974,179141.82,378.77075993422415,-0.044557939208611175,0.39208969105970004,0.308282452174258,0.10938561269428249,0.680969170334992,1.8152112924874229,9.102485549215896,12.558713164154769,-0.0661090486201189,0.24117227440256794,0.2027073732718896,0.04649647475523788,0.42681093394077463,0.9697169811320756,8.470365890535229,10.892348585532563,0.02307668725097356,0.12159264251191515,0.08778118538939195,0.060094935297086094,0.17813028366151218,0.42924659707680846,0.06674712107083569,0.14012073112702006
ADORAMA INC,NY,NEW YORK,2019-12-31,87068486.5622,211385.46000000002,411.89439690979685,0.28317995915685645,0.226004104543037,0.7863015929166668,0.6787618235465962,0.4235413851862535,1.1569859513343896,2.612422711311932,11.963306994425585,0.17998946309689168,0.10198148230979132,0.4645702056830341,0.41918202764976975,0.23485481337922298,0.6836218678815491,1.3242452830188682,10.17493196250378,0.08745035382700816,0.11254510554323471,0.21967631594935133,0.18290803493805674,0.15280061247903576,0.2811581938220251,0.5542347176972229,0.16003453425242276
