COMPANY_NAME,STATE,CITY,TRANSACTION_YEAR,YEARLY_CARD_REVENUE,YEARLY_CARD_TRANSACTIONS,avg_basket_size,YoY_revenue_growth_L1,YoY_revenue_growth_L2,YoY_transactions_growth_L1,YoY_transactions_growth_L2,YoY_basket_size_growth_L1,YoY_basket_size_growth_L2
INTER-COUNTY BAKERS INC,NY,DEER PARK,2020-06-30,2801715.8026,2022.02,1385.6024186704385,-0.062202926377531886,-0.29340571543376637,0.12044374009508707,-0.11292346298619826,-0.16301279567782534,-0.20345736237724443
INTER-COUNTY BAKERS INC,NY,DEER PARK,2020-09-30,3791346.3016,2559.7,1481.1682234636871,0.3532230135838974,0.26904858209755655,0.26591230551626577,0.4183835182250395,0.06897058168024084,-0.10528530133680647
INTER-COUNTY BAKERS INC,NY,DEER PARK,2020-12-31,3916347.4063999997,2482.48,1577.5947465437787,0.032970110049627355,0.3978389252634469,-0.03016759776536304,0.2277227722772277,0.06510166877236934,0.13856235041619458
INTER-COUNTY BAKERS INC,NY,DEER PARK,2021-03-31,3032161.5896,1884.74,1608.7956904400608,-0.22576797333022214,-0.20024145820697348,-0.2407834101382489,-0.26368715083798877,0.019777540439100516,0.08616676009826829
INTER-COUNTY BAKERS INC,NY,DEER PARK,2021-06-30,4144008.2684,2282.2799999999997,1815.7317543859651,0.3666845073869145,0.05813091597235798,0.21092564491653998,-0.08064516129032273,0.12862793279195084,0.15094941737344203
INTER-COUNTY BAKERS INC,NY,DEER PARK,2021-09-30,5085698.2462,2542.54,2000.2431608548932,0.22724133660176937,0.6772517215584479,0.11403508771929838,0.34901365705614573,0.101618207658281,0.24331708043533995
INTER-COUNTY BAKERS INC,NY,DEER PARK,2021-12-31,4383965.2714,2150.7200000000003,2038.3709973404252,-0.1379816380817187,0.0579045666558593,-0.15410573678290207,-0.05764411027568905,0.01906160072520202,0.12261681408427605
INTER-COUNTY BAKERS INC,NY,DEER PARK,2022-03-31,3771036.3833999997,1798.94,2096.25467408585,-0.1398115290736015,-0.2585017433510348,-0.16356382978723416,-0.2924634420697413,0.028397027244279283,0.04799992076459447
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2017-12-31,6469607.943999999,12432.419999999998,520.3820289211594,,,,,,
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2018-03-31,15012793.996,37477.44,400.5821634562019,1.3205106284567156,,2.014492753623189,,-0.23021522421387808,
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2018-06-30,12741286.358,33693.66,378.15085562090906,-0.15130478967507444,0.9694062558792975,-0.10096153846153844,1.7101449275362324,-0.0559967714032914,-0.2733206863333075
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2018-09-30,10096730.444,28108.08,359.21096154557694,-0.2075580000083379,-0.32745827014677165,-0.1657754010695187,-0.25,-0.05008555129204595,-0.10327769352902882
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2018-12-31,10146670.935,28648.62,354.1766037945284,0.004946204246710106,-0.2036384200227076,0.019230769230769162,-0.14973262032085577,-0.014015044890020145,-0.06339864493236669
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2019-03-31,13288604.73,28648.620000000003,463.84798744232705,0.30965168922175157,0.3161294939686914,2.220446049250313e-16,0.019230769230769162,0.30965168922175135,0.29129686200701776
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2019-06-30,11038221.394,30810.78,358.2584210461403,-0.16934684880193596,0.0878663026239157,0.07547169811320731,0.07547169811320753,-0.22763829800881763,0.011524807702938844
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2019-09-30,12470883.024,31531.5,395.50554283811425,0.12979098523777988,-0.06153555791707266,0.023391812865497075,0.10062893081761004,0.10396719128948773,-0.14733802119322603
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2019-12-31,8276397.129,27567.54,300.2225490196078,-0.33634233333179253,-0.25020555091431973,-0.12571428571428567,-0.10526315789473673,-0.24091443354943587,-0.16199443925718082
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2020-03-31,9790465.885,25405.38,385.36978722617016,0.1829381471672975,-0.21493402943813866,-0.07843137254901955,-0.19428571428571428,0.2836137341602589,-0.025627341501236023
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2020-06-30,1321650.9306,5225.219999999999,252.93689655172417,-0.8650063290016765,-0.8403108369499315,-0.7943262411347518,-0.8104575163398693,-0.34365146169780636,-0.15750200183929342
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2020-09-30,2237075.2404,5945.9400000000005,376.23575757575753,0.6926369804653469,-0.7715047203394653,0.1379310344827589,-0.7659574468085106,0.4874688616210623,-0.023701986904987815
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2020-12-31,2039163.7268,6486.48,314.3713889197223,-0.08846886775458318,0.5428913032840412,0.09090909090909083,0.24137931034482762,-0.1644297954417011,0.2428846609788109
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2021-03-31,4543705.3664,11891.88,382.08469698651516,1.2282199838510777,1.0310918847716373,0.8333333333333333,0.9999999999999998,0.21539271846422414,0.015545942385818856
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2021-06-30,5840487.854,19279.260000000002,302.94149536859817,0.28540197548668256,1.8641583690610792,0.6212121212121215,1.9722222222222228,-0.2071352300736351,-0.03635793190468373
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2021-09-30,6173355.989,22342.32,276.3077419444355,0.05699320730065849,0.3586611567402709,0.1588785046728971,0.8787878787878789,-0.08791715176475423,-0.2768416423801784
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2021-12-31,6073613.746,22162.14,274.05357722674796,-0.016156891515364702,0.0399154827178243,-0.008064516129032251,0.14953271028037363,-0.008158167056140142,-0.09535807600969748
JAMARI CALIFORNIA INC,CA,WEST HOLLYWOOD,2022-03-31,8532279.756000001,19099.08,446.7377358490566,0.404811058592464,0.382113678719201,-0.138211382113821,-0.14516129032258052,0.630110945347859,0.6168122279356687
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2017-03-31,91958133.28,70450.38,1305.2893863737852,,,,,,
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2017-06-30,87612687.16,51891.84,1688.371180517014,-0.04725461430114841,,-0.26342710997442464,,0.2934841868342051,
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2017-09-30,111540645.21,83062.98000000001,1342.8442515546635,0.2731106512724839,0.2129502984839189,0.6006944444444449,0.17902813299232734,-0.20465104649354593,0.02877129437573167
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2017-12-31,73564432.74000001,65945.88,1115.527349699481,-0.3404697220327294,-0.16034497828316563,-0.20607375271149675,0.2708333333333335,-0.1692801690084378,-0.3392878517638026
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2018-03-31,81883773.98,57837.78,1415.7489097956388,0.1130891781549268,-0.26588398492912024,-0.12295081967213117,-0.30368763557483747,0.2691297171486082,0.05429122413606091
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2018-06-30,62401849.31,46846.8,1332.0408076965768,-0.23792167511427154,-0.15173886366326117,-0.190031152647975,-0.2896174863387978,-0.05912637581415836,0.194090676535563
JAMARI INTERNATIONAL LTD,NY,NEW YORK,2018-09-30,81988665.75999999,68288.22,1200.6267810172822,0.31388198693754354,0.001280983702895755,0.4576923076923076,0.18068535825545173,-0.09865615671830774,-0.15194935153395894
